,tweet,is_retweet
0,"RT @steve_vladeck: There’s no excuse for how hard it is to vote.

There’s even less of an excuse for how much harder it is in some jurisdic…",True
1,"RT @karan1976U: W..Vote harder
#KCA
#VoteTaylorSwiftArtist",True
2,"RT @JulieSmithM: I don’t want to hear anything about young voters didn’t show up to vote, students waited for over 4 hours to vote at UCLA…",True
3,"RT @Holly_WV: ‼️LMAO‼️
If you haven’t seen this you’ve got to give it a go!
This guy should win a Grammy for this! 
Pour a drink, turn your…",True
4,RT @nhannahjones: Forcing people to wait in line for 7 hours to vote is essentially imposing a poll tax as it requires workers to take off…,True
5,"RT @mojybb9497: How to vote on #JTMA2020  the sanook website 
Let's vote for BamBam. 🐥💚🐍

🎈sanook https://t.co/tXxrjdMn7o

#뱀뱀 #GOT7 #갓세븐 #…",True
6,"RT @BernieSanders: While Republican leaders go on and on about ""voter fraud,"" what we really have is a crisis of voter suppression.

Our ad…",True
7,RT @no_silenced: Did Chuck Schumer give Kavanaugh and Gorsuch a “Quid Pro Quo” by threatening them to Vote his way or “Pay the Price”..??,True
8,"@r_lawrence420 @_michaelbrooks To avoid disapptment, plz know: unlike CA &amp; TX, FL is a *closed* primary. Registrd D… https://t.co/GXBYqU6EYI",False
9,"RT @traceyecorder: Bernie says that our incarcerated brothers and sisters should have dignity and the right to vote. 

Biden wrote the 94 C…",True
10,@NPR @HoustonPubMedia This is so sad. I thought it was sad when I got to mine &amp; I was the ONLY ONE THERE. So many v… https://t.co/JDpi0hLRYk,False
11,RT @ThePubliusUSA: Nothing poses a greater threat to our republic than the corrupt megalomaniac in the White House. That is why it is cruci…,True
12,RT @People4Bernie: Joe Biden doesn't have a plan for universal health care and he's never been asked a single time in front of a national a…,True
13,I can't wait to watch the debate between @realDonaldTrump and @JoeBiden. It's going to be like watching an argument… https://t.co/qCjlUaiAqR,False
14,RT @MsJuneDiane: Stop telling your daughters they can be president when you are unwilling to vote for a woman president.,True
